id,crash,timestamp,bet_sum,player_count
7212829,3.83,1714651470,2328,22
7212828,3.78,1714651439,4974,27
7212827,1.03,1714651431,3058,24
7212826,1.53,1714651416,20432,25
7212825,5.63,1714651379,14234,27
7212824,1.02,1714651370,12627,26
7212823,1.02,1714651362,5151,25
7212822,3.14,1714651335,2587,25
7212821,2.18,1714651313,5399,28
7212820,2.35,1714651291,4937,26
7212819,1.27,1714651279,6472,25
7212818,9.22,1714651234,3367,22
7212817,3.32,1714651206,3138,23
7212816,1.5,1714651191,5913,24
7212815,4.83,1714651157,2366,22
7212814,60.13,1714651080,3577,24
7212813,1.8,1714651063,3790,25
7212812,2.47,1714651039,3215,25
7212811,2.83,1714651014,2217,21
7212810,3.62,1714650984,3942,23
7212809,1.17,1714650974,3975,24
7212808,1.69,1714650957,2369,24
7212807,1.14,1714650947,1172,24
7212806,1.32,1714650934,2582,25
7212805,4.34,1714650901,1472,24
7212804,1.03,1714650893,2010,25
7212803,1.73,1714650875,1309,25
7212802,2.54,1714650852,2848,25
7212801,1.4,1714650838,2704,23
7212800,6.36,1714650799,3309,25
7212799,1.22,1714650788,4106,25
7212798,1.84,1714650769,1254,23
7212797,1.16,1714650759,4075,24
7212796,3.21,1714650731,2908,25
7212795,2.58,1714650707,1436,23
7212794,4.66,1714650674,3262,24
7212793,1.02,1714650665,6626,25
7212792,6.22,1714650627,3515,26
7212791,2.53,1714650603,1999,24
7212790,6.28,1714650564,1899,24
7212789,1.53,1714650549,3958,25
7212788,1.38,1714650536,3495,23
7212787,260.78,1714650435,2480,24
7212786,6.97,1714650395,1742,23
7212785,1.42,1714650381,1977,23
7212784,72.36,1714650301,2938,27
7212783,1.0,1714650293,3235,26
7212782,4.19,1714650261,3263,26
7212781,1.18,1714650250,1976,25
7212780,1.39,1714650237,3567,25
7212779,2.86,1714650211,2137,26
7212778,2.01,1714650191,2799,25
7212777,1.39,1714650178,3903,26
7212776,6.04,1714650140,1891,22
7212775,4.79,1714650106,4701,23
7212774,1.51,1714650091,3726,25
7212773,1.33,1714650078,6438,25
7212772,2.38,1714650055,7049,24
7212771,1.05,1714650046,2492,23
7212770,1.3,1714650034,7564,25
7212769,0.0,1714650026,8034,27
7212768,1.74,1714650008,7324,24
7212767,2.78,1714649983,9376,26
7212766,1.69,1714649966,8335,24
7212765,1.0,1714649958,7165,24
7212764,6.67,1714649918,7918,24
7212763,52.7,1714649844,9913,25
7212762,1.11,1714649834,7106,25
7212761,1.45,1714649820,3983,25
7212760,1.34,1714649807,6448,25
7212759,1.52,1714649792,7971,23
7212758,6.85,1714649752,11576,26
7212757,2.14,1714649731,7064,22
7212756,4.7,1714649697,7886,25
7212755,3.58,1714649668,6659,26
7212754,2.07,1714649648,4796,25
7212753,1.58,1714649632,6424,25
7212752,1.02,1714649624,6033,24
7212751,1.16,1714649613,8380,23
7212750,3.34,1714649585,7900,25
7212749,3.17,1714649557,6297,25
7212748,2.54,1714649534,7073,24
7212747,1.7,1714649517,7392,24
7212746,1.06,1714649508,5983,22
7212745,1.54,1714649492,7294,23
7212744,3.06,1714649466,7805,23
7212743,1.02,1714649457,8077,22
7212742,1.02,1714649449,6681,23
7212741,6.91,1714649408,4899,22
7212740,1.28,1714649396,4485,22
7212739,15.61,1714649342,7133,24
7212738,1.93,1714649323,7148,24
7212737,2.93,1714649297,7335,23
7212736,5.58,1714649261,4425,23
7212735,1.21,1714649249,6234,26
7212734,1.32,1714649237,5206,23
7212733,4.6,1714649203,6817,23
7212732,1.87,1714649185,8568,24
7212731,1.08,1714649175,7200,24
7212730,1.15,1714649165,5925,23
7212729,1.27,1714649152,6799,23
7212728,3.27,1714649125,3497,23
7212727,1.39,1714649111,4118,24
7212726,1.08,1714649102,4512,23
7212725,0.0,1714649094,4900,24
7212724,2.39,1714649071,5886,24
7212723,6.11,1714649033,6146,26
7212722,2.33,1714649011,4074,25
7212721,1.94,1714648991,5698,25
7212720,2.83,1714648966,3826,23
7212719,5.09,1714648931,2936,21
7212718,4.82,1714648897,2764,22
7212717,1.45,1714648882,3896,22
7212716,5.27,1714648847,4422,24
7212715,1.6,1714648831,5207,24
7212714,1.41,1714648817,9617,26
7212713,108.24,1714648731,4718,23
7212712,2.76,1714648706,5561,25
7212711,1.69,1714648689,7180,24
7212710,2.03,1714648669,2372,21
7212709,10.23,1714648622,3458,21
7212708,1.07,1714648613,2096,22
7212707,1.32,1714648600,5587,23
7212706,1.06,1714648591,2261,23
7212705,1.53,1714648576,1837,21
7212704,3.82,1714648545,5252,23
7212703,1.05,1714648536,6260,24
7212702,2.9,1714648511,4813,22
7212701,1.07,1714648501,4226,23
7212700,3.88,1714648471,1332,22
7212699,1.02,1714648462,1089,21
7212698,1.31,1714648449,20915,22
7212697,4.71,1714648416,12017,23
7212696,5.73,1714648378,15943,24
7212695,3.29,1714648351,5852,22
7212694,15.54,1714648297,4487,25
7212693,2.24,1714648275,2160,22
7212692,1.36,1714648262,2236,22
7212691,9.11,1714648217,3424,24
7212690,1.79,1714648199,2399,23
7212689,1.14,1714648189,4092,22
7212688,2.81,1714648164,2932,24
7212687,2.11,1714648143,1990,23
7212686,1.23,1714648132,1815,24
7212685,1.24,1714648120,4244,24
7212684,2.18,1714648099,1695,23
7212683,1.07,1714648089,3628,24
7212682,2.27,1714648068,6775,22
7212681,3.24,1714648040,3948,23
7212680,1.24,1714648028,6023,22
7212679,1.16,1714648018,6001,24
7212678,3.73,1714647988,2092,22
7212677,6.35,1714647949,6009,23
7212676,1.87,1714647930,4313,23
7212675,4.4,1714647898,3513,22
7212674,1.06,1714647888,2235,21
7212673,6.61,1714647849,8176,22
7212672,6.15,1714647811,6333,22
7212671,2.87,1714647785,6014,26
7212670,2.22,1714647764,3594,24
7212669,1.2,1714647752,6545,27
7212668,2.52,1714647729,3891,23
7212667,8.79,1714647685,4629,24
7212666,1.7,1714647668,1967,23
7212665,1.4,1714647654,1651,22
7212664,1.73,1714647637,7487,23
7212663,9.15,1714647592,5158,24
7212662,2.44,1714647569,7431,22
7212661,4.19,1714647537,6302,25
7212660,1.49,1714647522,4600,24
7212659,1.15,1714647512,5520,25
7212658,1.95,1714647492,3010,24
7212657,1.28,1714647480,8141,23
