id,crash,timestamp,bet_sum,player_count
7220968,8.2,1714851721,1130,-1
7220967,22.46,1714851661,18185,-1
7220966,1.28,1714851649,12583,-1
7220965,2.47,1714851626,11099,-1
7220964,1.0,1714851618,17529,-1
7220963,4.31,1714851585,23093,-1
7220962,1.4,1714851571,17323,-1
7220961,7.99,1714851529,14102,-1
7220960,1.19,1714851518,16044,-1
7220959,2.36,1714851495,20197,-1
7220958,1.59,1714851479,20568,-1
7220957,1.19,1714851468,13989,-1
7220956,1.01,1714851460,32327,-1
7220955,3.8,1714851430,40255,-1
7220954,2.02,1714851410,24404,-1
7220953,3.13,1714851383,17993,-1
7220952,3.63,1714851353,19998,-1
7220951,1.11,1714851343,17111,-1
7220950,1.68,1714851327,12394,-1
7220949,1.02,1714851318,11432,-1
7220948,1.24,1714851306,37800,-1
7220947,4.55,1714851273,35766,-1
7220946,0.0,1714851265,35733,-1
7220945,1.89,1714851246,31459,-1
7220944,1.82,1714851228,37531,-1
7220943,6.35,1714851189,7398,-1
7220942,26.59,1714851127,28436,-1
7220941,2.33,1714851105,25274,-1
7220940,8.23,1714851061,54308,-1
7220939,3.03,1714851035,49374,-1
7220938,2.87,1714851009,49674,-1
7220937,1.18,1714850998,48708,-1
7220936,1.13,1714850988,20546,-1
7220935,23.58,1714850927,215084,-1
7220934,1.81,1714850909,91325,-1
7220933,1.07,1714850900,44502,-1
7220932,1.48,1714850886,53026,-1
7220931,1.56,1714850870,48484,-1
7220930,1.57,1714850854,42626,-1
7220929,1.79,1714850837,41126,-1
7220928,1.0,1714850828,40158,-1
7220927,1.32,1714850816,13734,-1
7220926,3.18,1714850788,8974,-1
7220925,3.54,1714850759,8261,-1
7220924,2.06,1714850739,7594,-1
7220923,2.06,1714850719,7133,-1
7220922,1.09,1714850709,8660,-1
7220921,10.75,1714850662,7656,-1
7220920,19.48,1714850604,19792,-1
7220919,1.19,1714850593,12318,-1
7220918,1.97,1714850574,13379,-1
7220917,1.98,1714850554,8310,-1
7220916,1.08,1714850545,9270,-1
7220915,1.71,1714850528,12877,-1
7220914,2.39,1714850505,8180,-1
7220913,4.88,1714850471,30725,-1
7220912,3.7,1714850441,16024,-1
7220911,1.37,1714850427,8747,-1
7220910,1.47,1714850413,24892,-1
7220909,1.51,1714850398,22833,-1
7220908,1.36,1714850385,21567,-1
7220907,2.65,1714850360,2394,-1
7220906,1.36,1714850347,1279,-1
7220905,2.04,1714850327,2433,-1
7220904,1.42,1714850313,1799,-1
7220903,0.0,1714850305,2887,-1
7220902,2.11,1714850285,2497,-1
7220901,1.55,1714850269,1656,-1
7220900,1.32,1714850256,1230,-1
7220899,2730.81,1714850116,21243,-1
7220898,2.45,1714850093,1432,-1
7220897,193.32,1714849998,1116,-1
