gameId,crash
5949114,4.87
5949115,1.28
5949116,1.15
5949117,183.71
5949118,6.02
5949119,2.51
5949120,1.73
5949121,1.1
5949122,7.23
5949123,1.05
5949124,15.52
5949125,4.34
5949126,2.65
5949127,2.2
5949128,1.77
5949129,400.35
5949130,1.59
5949131,7.45
5949132,1.52
5949133,2.87
5949134,1.34
5949135,2.68
5949136,3.24
5949137,15.35
5949138,3.35
5949139,1.94
5949140,3.61
5949141,19.44
5949142,1.11
5949143,1.25
5949144,1.49
5949145,1.54
5949146,3.76
5949147,2.38
5949148,3.1
5949149,1.89
5949150,1.27
5949151,9.94
5949152,4.46
5949153,1.34
5949154,5.91
5949155,10.56
5949156,1.48
5949157,1.17
5949158,1.16
5949159,2.56
5949160,1.02
5949161,6.17
5949162,11.26
5949163,2.28
5949164,1.52
5949165,1.06
5949166,5.49
5949167,1.51
5949168,2.75
5949169,3.33
5949170,5.52
5949171,46.95
5949172,2.25
5949173,5.6
5949174,1.7
5949175,5.84
5949176,4.97
5949177,1.78
5949178,3
5949179,1.55
5949180,2.09
5949181,1.49
5949182,5.6
5949183,1.39
5949184,14.8
5949185,1.18
5949186,1.72
5949187,1.14
5949188,21.22
5949189,1.25
5949190,22.26
5949191,14.71
5949192,3.87
5949193,1.84
5949194,3.33
5949195,1.41
5949196,10
5949197,21.29
5949198,3.15
5949199,1.49
5949200,1.72
5949201,2.47
5949202,3.15
5949203,2.04
5949204,1.09
5949205,102.54
5949206,1.16
5949207,1.04
5949208,1.78
5949209,1.65
5949210,1.19
5949211,2.27
5949212,1.39
5949213,1.62
5949214,2.99
5949215,7.24
5949216,1.02
5949217,1.4
5949218,6.26
5949219,2.22
5949220,1.01
5949221,2.25
5949222,4.33
5949223,1.36
5949224,1.4
5949225,46.86
5949226,27.86
5949227,1.65
5949228,3.13
5949229,4.06
5949230,3.57
5949231,1.1
5949232,3.15
5949233,2.88
5949234,0
5949235,15.2
5949236,3.61
5949237,1.19
5949238,1.09
5949239,16.04
5949240,103.78
5949241,1.13
5949242,1.62
5949243,1.26
5949244,1.37
5949245,14.64
5949246,2.18
5949247,36.54
5949248,3.9
5949249,6.26
5949250,3.67
5949251,1.36
5949252,2.78
5949253,8.55
